,SirLJ,0 minutes ago,commentsAPI,1 point,2022-11-06
,locallost,1 minute ago,commentsAPI,1 point,2022-11-06
,SirLJ,1 minute ago,commentsAPI,2 points,2022-11-06
,scaramanga,10 minutes ago,commentsAPI,1 point,2022-11-06
,johnny_reilly,11 minutes ago,commentsAPI,1 point,2022-11-06
,interbr,15 minutes ago,commentsAPI,2 points,2022-11-06
,msangi,15 minutes ago,commentsAPI,1 point,2022-11-06
,karaokeyoga,23 minutes ago,commentsAPI,1 point,2022-11-06
,mpweiher,26 minutes ago,commentsAPI,1 point,2022-11-06
,EvgeniyZh,28 minutes ago,commentsAPI,1 point,2022-11-06
,jjzhiyuan,28 minutes ago,commentsAPI,1 point,2022-11-06
,quick_brown_fox,32 minutes ago,commentsAPI,1 point,2022-11-06
,jj811208,36 minutes ago,commentsAPI,13 points,2022-11-06
,doener,39 minutes ago,commentsAPI,2 points,2022-11-06
,twazzle,40 minutes ago,commentsAPI,1 point,2022-11-06
,cassiepaper,40 minutes ago,commentsAPI,1 point,2022-11-06
,doener,44 minutes ago,commentsAPI,1 point,2022-11-06
,giuliomagnifico,47 minutes ago,commentsAPI,7 points,2022-11-06
,dmarchand90,49 minutes ago,commentsAPI,2 points,2022-11-06
,helsinkiandrew,50 minutes ago,commentsAPI,2 points,2022-11-06
,prakhar897,51 minutes ago,commentsAPI,1 point,2022-11-06
,damacaner,59 minutes ago,commentsAPI,2 points,2022-11-06
,punnerud,1 hour ago,commentsAPI,1 point,2022-11-06
,dspoka,1 hour ago,commentsAPI,1 point,2022-11-06
,fulafel,1 hour ago,commentsAPI,2 points,2022-11-06
,yu3zhou4,1 hour ago,commentsAPI,1 point,2022-11-06
,hknmtt,1 hour ago,commentsAPI,1 point,2022-11-06
,trifit,1 hour ago,commentsAPI,1 point,2022-11-06
,andrewstuart,1 hour ago,commentsAPI,19 points,2022-11-06
,matthews2,1 hour ago,commentsAPI,1 point,2022-11-06
